"Journal title","ISSN","Categorias","Indexador","Aims and Scope","Aims and Scope (translate)"
"World Of The Orient","1608-0599","Humanities, Multidisciplinary, History, Asian Studies, Language & Linguistics","Web of Science - ESCI","«Східний світ» – щоквартальний науковий журнал, видається Інститутом сходознавства ім. А.Ю. Кримського НАН України. Key title: Shìdnij svìt (ISO 9) Abbreviated key title: Shìdnij svìt (ISO 9) Parallel title: The World of the Orient Виходить: 4 рази на рік «Східний світ» індексується у: Scopus, Web of Science, Slavic Humanities Index, Index Copernicus, Vernadsky National Library of Ukraine, Zeitschriftendatenbank, British Library, Ulrichsweb, Open Ukrainian Citation Index, EuroPub, Crossref. DOI: https://doi.org/10.15407/orientw Видавець: Інститут сходознавства ім. А. Ю. Кримського. ЄДРПОУ 16306758.","'Eastern World' is a quarterly scientific journal published by the Institute of Oriental Studies named after A. Yu. Crimean National Academy of Sciences of Ukraine. Key title: Shìdnij svìt (ISO 9) Abbreviated key title: Shìdnij svìt (ISO 9) Parallel title: The World of the Orient Published: 4 times a year 'The Oriental World' is indexed in: Scopus, Web of Science, Slavic Humanities Index, Index Copernicus, Vernadsky National Library of Ukraine, Zeitschriftendatenbank, British Library, Ulrichsweb, Open Ukrainian Citation Index, EuroPub, Crossref. DOI: https://doi.org/10.15407/orientw Publisher: Institute of Oriental Studies named after A. Yu. Krymskyi. EDRPOU 16306758."
"World Patent Information","0172-2190","Information Science & Library Science","Web of Science - ESCI","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of World Patent Information.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of World Patent Information."
"World Politics","0043-8871","International Relations, Political Science","Web of Science - SSCI","Aims and Scope: Published by Project MUSE. Focuses on scholarly research in the field of World Politics.","Aims and Scope: Published by Project MUSE. Focuses on scholarly research in the field of World Politics."
"World Psychiatry","1723-8617","Psychiatry","Web of Science - SCIE, Web of Science - SSCI","Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on academic publications in World Psychiatry.","Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on academic publications in World Psychiatry."
"World Rabbit Science","1257-5011","Agriculture, Dairy & Animal Science","Web of Science - SCIE","Subjects: Animal culture, Veterinary medicine. Keywords: zoology, rabbits, biology, animal science","Subjects: Animal culture, Veterinary medicine. Keywords: zoology, rabbits, biology, animal science"
"World Review Of Political Economy","2042-891X","Economics","Web of Science - ESCI","Subjects: Economics as a science, Political science (General). Keywords: economic globalization, global value chain, underdevelopment, unequal exchange, colonialism, capitalist system","Subjects: Economics as a science, Political science (General). Keywords: economic globalization, global value chain, underdevelopment, unequal exchange, colonialism, capitalist system"
"Worlds Poultry Science Journal","0043-9339","Agriculture, Dairy & Animal Science","Web of Science - SCIE","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of World s Poultry Science Journal.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of World s Poultry Science Journal."
"World Tax Journal","1878-4917","Business, Finance, Law","Web of Science - ESCI","Presenting the latest scientific research in international, comparative and regional taxationThe World Tax Journal is the preeminent fully peer-reviewed scienti","Presenting the latest scientific research in international, comparative and regional taxationThe World Tax Journal is the preeminent fully peer-reviewed scienti"
"World Trade Review","1474-7456","Economics, International Relations, Law","Web of Science - SSCI","Aims and Scope: Published by Cambridge University Press. Focuses on scholarly research in the field of World Trade Review.","Aims and Scope: Published by Cambridge University Press. Focuses on scholarly research in the field of World Trade Review."
"Worldviews-Global Religions Culture And Ecology","1363-5247","Religion","Web of Science - ESCI","Aims and Scope: Published by Walter de Gruyter GmbH (Brill). Focuses on scholarly research in the field of Worldviews Global Religions Culture and Ecology.","Aims and Scope: Published by Walter de Gruyter GmbH (Brill). Focuses on scholarly research in the field of Worldviews Global Religions Culture and Ecology."
"Worldviews On Evidence-Based Nursing","1545-102X","Nursing","Web of Science - SCIE, Web of Science - SSCI","Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on academic publications in Worldviews on Evidence-Based Nursing.","Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on academic publications in Worldviews on Evidence-Based Nursing."
"Worldwide Hospitality And Tourism Themes","1755-4217","Hospitality, Leisure, Sport & Tourism","Web of Science - ESCI","Aims and Scope: Published by Emerald (MCB UP). Focuses on scholarly research in the field of Worldwide Hospitality and Tourism Themes.","Aims and Scope: Published by Emerald (MCB UP). Focuses on scholarly research in the field of Worldwide Hospitality and Tourism Themes."
"World Wide Web-Internet And Web Information Systems","1386-145X","Computer Science, Information Systems, Software Engineering","Web of Science - SCIE","World Wide Web: Internet and Web Information Systems (WWW) is an international, archival, peer-reviewed journal that covers all aspects of the Web, including ...","World Wide Web: Internet and Web Information Systems (WWW) is an international, archival, peer-reviewed journal that covers all aspects of the Web, including ..."
"Wound Management & Prevention","2640-5237","Dermatology, Nursing","Web of Science - SCIE, Web of Science - SSCI","Aims and Scope: A gunshot wound (GSW) is a penetrating injury caused by a projectile (e.g., a bullet) shot from a gun. Damage may include bleeding, bone fractures, organ","Aims and Scope: A gunshot wound (GSW) is a penetrating injury caused by a projectile (e.g., a bullet) shot from a gun. Damage may include bleeding, bone fractures, organ"
"Wound Practice And Research","1837-6304","Dermatology","Web of Science - ESCI","Aims and Scope: Published by Cambridge Media. Focuses on scholarly research in the field of Wound Practice and Research.","Aims and Scope: Published by Cambridge Media. Focuses on scholarly research in the field of Wound Practice and Research."
"Wound Repair And Regeneration","1067-1927","Cell Biology, Dermatology, Medicine, Research & Experimental, Surgery","Web of Science - SCIE","Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Wound Repair and Regeneration.","Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Wound Repair and Regeneration."
"Wounds-A Compendium Of Clinical Research And Practice","1044-7946","Dermatology, Surgery","Web of Science - SCIE","Aims and Scope: Published by HMP Communications, LLC. Focuses on scholarly research in the field of WOUNDS A Compendium of Clinical Research and Practice.","Aims and Scope: Published by HMP Communications, LLC. Focuses on scholarly research in the field of WOUNDS A Compendium of Clinical Research and Practice."
"Wpom-Working Papers On Operations Management","1989-9068","Business","Web of Science - ESCI","Subjects: Management. Industrial management, Personnel management. Employment management. Keywords: human resources management, supply chain, logistics, teamwork, lean manufacturing, industrial engineering","Subjects: Management. Industrial management, Personnel management. Employment management. Keywords: human resources management, supply chain, logistics, teamwork, lean manufacturing, industrial engineering"
